year,st_abr,st_name,st_code,st_south,st_pop,st_uemp,inc_icpsr,inc_pos,inc_spend,ch_qual,ch_spend,ch_wealthy,inc_2p_share,st_id,inc_tenure,inc_rep
1988,RI,Rhode Island,5,0,996408,3,14500,0.008999999612569809,2841985,3,2881141,0,0.5459257960319519,-6.900000095367432,12,1
1988,TN,Tennessee,54,1,4822437,5.800000190734863,14509,-0.29899999499320984,3069615,0,612421,0,0.653427004814148,18.799999237060547,12,0
1988,TX,Texas,49,1,16667022,7.400000095367432,660,-0.10499999672174454,8829361,4,1353345,0,0.5966633558273315,24.399999618530273,18,0
1988,UT,Utah,67,0,1689372,5,14503,0.33799999952316284,3990182,0,153475,0,0.6789596080780029,14,12,1
1988,VA,Virginia,40,1,6036909,4,14456,0.2460000067949295,NA,NA,NA,NA,NA,22,6,1
1988,VT,Vermont,6,0,549763,3,10562,0.008999999612569809,NA,NA,NA,NA,NA,48.599998474121094,18,1
1988,WA,Washington,73,0,4639893,6.199999809265137,14916,0.15800000727176666,NA,NA,NA,NA,NA,4.300000190734863,6,0
1988,WI,Wisconsin,25,0,4822388,4.199999809265137,7638,-0.38100001215934753,NA,NA,NA,NA,NA,8.199999809265137,31,0
1988,WV,West Virginia,56,1,1830215,9.699999809265137,1366,-0.23499999940395355,1099709,1,115284,0,0.6476793885231018,21.399999618530273,30,0
1988,WY,Wyoming,68,0,465101,6.599999904632568,14511,0.5600000023841858,1345000,1,490230,0,0.5036526322364807,70.4000015258789,12,1
1990,AK,Alaska,81,0,550043,7,12109,0.19200000166893005,1273954,0,1000,0,0.6729105114936829,NA,22,1
1990,AL,Alabama,41,1,4040587,6.300000190734863,14705,-0.03500000014901161,3204160,1,1853869,1,0.605748176574707,31.5,12,0
1990,AR,Arkansas,42,1,2350725,6.800000190734863,10791,-0.24699999392032623,366011,NA,NA,NA,NA,23.399999618530273,12,0
1990,CO,Colorado,62,0,3294394,5.099999904632568,14002,0.49399998784065247,NA,NA,NA,NA,NA,20,12,1
1990,DE,Delaware,11,0,666168,4.199999809265137,14101,-0.3109999895095825,1888146,3,240669,0,0.6362581253051758,28.700000762939453,18,0
1990,GA,Georgia,44,1,6478216,5.199999809265137,14108,-0.10199999809265137,882336,NA,NA,NA,NA,21.5,18,0
1990,HI,Hawaii,82,0,1006749,2.4000000953674316,14400,-0.36800000071525574,1644919,4,2408136,NA,0.5477312207221985,NA,0,0
1990,IA,Iowa,31,0,2776755,4.5,14230,-0.38100001215934753,5263568,4,5060104,0,0.5453307032585144,12.100000381469727,6,0
1990,ID,Idaho,63,0,1006749,5.5,11029,0.47099998593330383,NA,NA,NA,NA,NA,43,18,1
1990,IL,Illinois,21,0,11430602,6.300000190734863,14275,-0.4129999876022339,7656514,4,4922363,0,0.6506839990615845,10.100000381469727,6,0
1990,IN,Indiana,22,0,5544159,5,14806,0.335999995470047,3741684,1,1077074,NA,0.5364044308662415,11.100000381469727,1,1
1990,KS,Kansas,32,0,2477574,4.300000190734863,14708,0.13899999856948853,407387,0,16627,0,0.7360487580299377,26.5,12,1
1990,KY,Kentucky,51,0,3685296,6.099999904632568,14921,0.33899998664855957,5074187,2,2929651,1,0.5218654870986938,11.5,6,1
1990,LA,Louisiana,45,1,4219973,5.900000095367432,14107,-0.1340000033378601,4989521,1,2615267,NA,0.5534851551055908,16.899999618530273,18,0
1990,MA,Massachusetts,3,0,6016425,6.300000190734863,14920,-0.35600000619888306,6234887,0,5177801,1,0.5710254311561584,-3.4000000953674316,6,0
1990,ME,Maine,2,0,1227928,5.300000190734863,14010,0.04699999839067459,1580997,1,1630894,1,0.6135231256484985,1.899999976158142,12,1
1990,MI,Michigan,23,0,9295297,7.699999809265137,14709,-0.36800000071525574,6930262,4,2417705,0,0.5823079347610474,8.300000190734863,12,0
1990,MN,Minnesota,33,0,4375099,4.800000190734863,14701,0.19900000095367432,6222333,0,1380560,0,0.48659515380859375,22.399999618530273,12,1
1990,MS,Mississippi,46,1,2573216,7.699999809265137,14009,0.25200000405311584,567446,NA,NA,NA,NA,33.099998474121094,12,1
1990,MT,Montana,64,0,799065,6,14203,-0.20900000631809235,2409262,3,747661,0,0.6986631155014038,24.600000381469727,12,0
1990,NC,North Carolina,47,1,6628637,4.199999809265137,14105,0.6349999904632568,13425121,2,7808470,0,0.5255589485168457,24.899999618530273,18,1
1990,NE,Nebraska,35,0,1578385,2.299999952316284,14704,-0.14300000667572021,2350326,4,1452681,0,0.5900534987449646,8.800000190734863,12,0
1990,NH,New Hampshire,4,0,1109252,5.599999904632568,14706,0.578000009059906,NA,NA,NA,NA,NA,10.699999809265137,12,1
1990,NJ,New Jersey,12,0,7730188,5.099999904632568,14702,-0.35199999809265137,9563942,0,673825,0,0.5155366063117981,-4.800000190734863,12,0
1990,NM,New Mexico,66,0,1515069,6.800000190734863,14103,0.2280000001192093,1925057,1,38510,0,0.7294791340827942,10,18,1
1990,OK,Oklahoma,53,0,3145585,5.699999809265137,14700,-0.08799999952316284,1372014,0,140912,0,0.831753134727478,28,12,0
1990,OR,Oregon,72,0,2842321,5.400000095367432,11203,-0.019999999552965164,2357058,0,1500774,1,0.5375064611434937,-3.0999999046325684,24,1
1990,RI,Rhode Island,5,0,1003464,6.099999904632568,10818,-0.3610000014305115,2350128,4,2073609,0,0.6183319687843323,-27,30,0
